FIELD_NAME,FIELD_TYPE,FIELD_DESCRIPTION,UNIT_OF_MEASURE,ALLOWED_VALUES
SITE_ID,NUMBER,Unique site identifier,NA,NA
SITE,NVARCHAR2,The 3-character code for the site surveyed,NA,NA
SITE_NAME,VARCHAR2,Site name,NA,NA
STATION,NUMBER,Sampling station number,NA,NA
STATIONID,VARCHAR2,"Sampling station ID, comprised of 3-letter site code and the sampling station number (e.g., TUM-6, EAB-2)",NA,NA
LATITUDE,NUMBER,"Latitude in decimal degrees, WGS84, for the given site",decimal degrees,NA
LONGITUDE,NUMBER,"Longitude in decimal degrees, WGS84 for the given site",decimal degrees,NA
DATE_TIME,DATE,Date the survey was conducted,MM/DD/YYYY H:MM,NA
OBSERVERID,VARCHAR2,Initials of diver conducting survey,NA,NA
WAVEEXPOSURE,VARCHAR2,"A general classification of the degree of wave exposure (Low, Moderate, High) for a given site; the wave exposure value is the same for all sampling stations within a given site",,"Low, Moderate, High"
DEPTH,NUMBER,Depth in meters,meters,NA
STRATUM,NVARCHAR2,"The stratum for the given site/station, comprised of the reef zone and subzone (e.g., ReefSlope-Terrace, ReefFlatMargin-West)",NA,"Embayment-Terrace, ReefSlope-Terrace, ReefSlope-West, ReefFlatMargin-East, ReefFlatMargin-West"
STATION_TYPE,VARCHAR2,Sampling station type (fixed or unfixed),NA,"Fixed, Unfixed"
CORALTRANSECTID,NUMBER,Unique transect identifier,NA,NA
TRANSECT_NUMBER,NUMBER,"Transect number for a given site visit; value is ""1"" unless more than one transect was surveyed at a sampling station during a single site visit",NA,NA
TRANSECT_LENGTH,NUMBER,Transect length in meters,meters,NA
CORALQUADRATID,NUMBER,Unique quadrat identifier,NA,NA
TRANSECT_SIDE,VARCHAR2,"Side of the transect tape on which quadrat is placed (R=right side, L=left side); currently, all quadrats are placed on the right side of the transect tape.",NA,NA
TRANSECT_LOCATION,NUMBER,Location of quadrat along the transect in meters,meters,NA
QUADRAT_LENGTH,NUMBER,Quadrat length in meters,meters,NA
QUADRAT_WIDTH,NUMBER,Quadrat width in meters,meters,NA
CORAL_CODE,NVARCHAR2,Unique 4-letter code,NA,NA
SCIENTIFIC_NAME,VARCHAR2,Scientific name,NA,NA
