species,genus,n,total_disease_percent,total_disease_count,healthy_count,Alpheus burrow,Cyanobacteria,Ulcerative white spots disease,Predation - unknown,Pigmentation response,Drupella,Bleaching,Patchy bleaching,Crown of thorns seastar,Algal overgrowth,Paling,Coralliophila,Algal infestation,Sediment on coral,Vermited worm infestation,Unknown,Discoloration,Fish bites,Terpios overgrowth,Black band disease,Urchin infestation,Sub-acute tissue loss,White syndrome
Parascolymia vitiensis,Parascolymia,2,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Favia spp,Favia,744,0.0,0,695,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,40,0,0,0,0,0,0,0
Echinopora pacificus,Echinopora,2,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galaxea cf. astreata,Galaxea,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Porites densa,Porites,79,0.0,0,77,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porites spp,Porites,364,0.0027397260273972603,2,345,0,0,0,0,0,0,0,1,2,2,1,0,0,1,0,10,0,0,0,0,0,1,1
Goniopora minor,Goniopora,9,0.0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porites annae,Porites,90,0.0,0,68,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0
Pavona spp,Pavona,4,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pocillopora eydouxi,Pocillopora,3,0.14285714285714285,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fungia fungites,Fungia,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goniopora spp,Goniopora,58,0.0,0,54,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Montipora grisea,Montipora,6,0.0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acropora humilis,Acropora,10,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montastraea magnistellata,Montastraea,146,0.0,0,145,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pavona varians,Pavona,106,0.0,0,91,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,10,0,0,0,0,0,0,0
Diploastrea heliopora,Diploastrea,9,0.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptastrea transversa,Leptastrea,7,0.0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Acanthastrea cf. brevis,Acanthastrea,4,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porites spp - massive,Porites,3854,0.0022006472491909383,17,3439,1,0,1,5,23,0,5,7,49,10,23,5,2,8,2,253,1,4,0,3,0,8,5
Goniastrea pectinata,Goniastrea,25,0.0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Goniopora fruticosa,Goniopora,168,0.0,0,162,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0
Acropora latistella,Acropora,47,0.0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Galaxea fascicularis,Galaxea,401,0.0,0,361,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,27,0,0,0,0,0,0,0
Merulina ampliata,Merulina,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porites lobata,Porites,26,0.0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montipora spp,Montipora,326,0.0,0,261,0,0,0,0,0,0,0,1,14,0,6,0,0,1,0,42,0,0,0,0,1,0,0
Favia helianthoides,Favia,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porites lutea,Porites,48,0.0,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0
Plesiastrea versipora,Plesiastrea,2,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porites spp - submassive,Porites,81,0.0,0,76,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0
Goniastrea retiformis,Goniastrea,51,0.0,0,38,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Montipora verrucosa,Montipora,113,0.0,0,93,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,15,0,0,0,0,0,0,0
Mussid spp,Mussid,4,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptastrea pruinosa,Leptastrea,3,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montipora socialis,Montipora,3,0.0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Astreopora randalli,Astreopora,108,0.0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Heliopora coerulea,Heliopora,87,0.0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0
Porites myrmidonensis,Porites,132,0.0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Cyphastrea agassizi,Cyphastrea,2,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Montipora nodosa,Montipora,3,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Platygyra daedalea,Platygyra,20,0.0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porites australiensis,Porites,21,0.023255813953488372,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0
Leptastrea cf. immersa,Leptastrea,47,0.0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pavona minuta,Pavona,22,0.0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montastrea spp.,Montastrea,6,0.0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Favia favus,Favia,38,0.0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungia scutaria,Fungia,3,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora danae,Pocillopora,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora meandrina,Pocillopora,3,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porites monticulosa,Porites,12,0.04,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Montipora hoffmeisteri,Montipora,4,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Favia granulosa,Favia,57,0.0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psammocora spp,Psammocora,63,0.0,0,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
Goniastrea edwardsi,Goniastrea,212,0.0,0,195,0,0,0,0,0,0,0,0,2,1,5,0,0,0,0,9,0,0,0,0,0,0,0
Psammocora profundacella,Psammocora,103,0.0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scapophyllia cylindrica,Scapophyllia,2,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astreopora myriophthalma,Astreopora,72,0.0,0,65,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0
Porites solida,Porites,63,0.0,0,59,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
Echinophyllia echinata,Echinophyllia,4,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptoria phrygia,Leptoria,154,0.0,0,150,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Platygyra pini,Platygyra,155,0.0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Astreopora listeri,Astreopora,97,0.0,0,91,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Psammocora superficialis,Psammocora,7,0.0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyphastrea serailia,Cyphastrea,17,0.0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Montastraea valenciennesi,Montastraea,3,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cycloseris spp,Cycloseris,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydnophora microconos,Hydnophora,21,0.0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astreopora spp,Astreopora,106,0.0,0,101,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0
Stylophora mordax,Stylophora,30,0.0,0,27,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Millepora platyphylla,Millepora,7,0.0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydnophora spp.,Hydnophora,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porites vaughani,Porites,8,0.0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungia spp,Fungia,2,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptastrea purpurea,Leptastrea,1341,0.0,0,1181,0,0,0,0,0,0,0,2,11,6,3,0,0,2,0,136,0,0,0,0,0,0,0
Millepora spp,Millepora,2,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No coral colonies,No,66,0.0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pavona duerdeni,Pavona,12,0.0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Acropora tenuis,Acropora,6,0.0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pavona decussata,Pavona,46,0.0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Oulophyllia crispa,Oulophyllia,13,0.0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coscinaraea columna,Coscinaraea,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Favites spp,Favites,26,0.0,0,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
Fungia granulosa,Fungia,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astreopora cf. macrostoma,Astreopora,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porites rus,Porites,8796,0.003060183611016661,54,7925,0,0,0,3,3,6,1,3,3,7,8,33,12,9,0,718,3,2,6,0,0,22,32
Pavona divaricata,Pavona,2,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pocillopora spp,Pocillopora,128,0.0,0,120,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Acanthastrea regularis,Acanthastrea,6,0.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Acropora spp,Acropora,26,0.0,0,23,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthastrea spp,Acanthastrea,5,0.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porites deformis,Porites,354,0.004219409282700422,3,339,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,8,0,0,0,0,0,0,3
Acropora surculosa,Acropora,3,0.0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Favia maritima,Favia,4,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthastrea echinata,Acanthastrea,47,0.0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
