,Genus,year,BBD_count,SGA_count,WMD_count,AYBD_count,WS_count,PPS_count,healthy_count,total_diseased_count,n,total_diseased_percent
0,Acropora,2014,13,0,0,0,5,0,468,18,486,0.037037037037037035
1,Acropora,2015,3,2,0,0,16,0,358,21,379,0.055408970976253295
2,Porites,2014,0,0,23,3,0,33,600,59,659,0.08952959
3,Porites,2015,0,1,5,0,0,3,396,9,405,0.022222222222222223
4,Cyphastrea,2014,0,0,0,0,0,0,56,0,56,0
5,Cyphastrea,2015,0,0,5,0,0,0,96,5,101,0.04950495
6,Platygyra,2014,0,0,0,0,0,0,308,0,308,0
7,Platygyra,2015,0,3,0,0,0,0,376,3,379,0.007915567
8,Favites,2014,0,0,8,0,0,0,304,8,312,0.025641026
9,Favites,2015,0,0,18,0,0,0,326,18,344,0.052325581
10,Dipsastrea,2014,0,0,0,0,0,0,252,0,252,0
11,Dipsastrea,2015,0,0,10,0,0,0,690,10,700,0.014285714285714285
12,Conscinaraea,2014,0,0,1,0,0,0,87,1,88,0.011363636363636364
13,Conscinaraea,2015,0,0,0,4,0,0,224,4,228,0.017543859649122806
14,Leptastrea,2014,0,0,0,0,0,0,60,0,60,0
15,Leptastrea,2015,0,0,1,0,0,0,110,1,111,0.009009009
