Genus,abundance,disease_prevalence,Region,Reef_Part,Source,Endozoicomonas_tissue
Acropora,12,1.7,Reunion,Reef slope,"Sere et al., 2015",58.68181818
Astreopora,10,1.5,Reunion,Reef slope,"Sere et al., 2015",Unknown
Favia,6.9,0.5,Reunion,Reef slope,"Sere et al., 2015",Unknown
Fungia,0.4,0,Reunion,Reef slope,"Sere et al., 2015",41.85714286
Galaxea,2.3,0,Reunion,Reef slope,"Sere et al., 2015",58.5
Goniopora,1.1,0,Reunion,Reef slope,"Sere et al., 2015",5.666666667
Hydnophora,0.8,0,Reunion,Reef slope,"Sere et al., 2015",425.5714286
Montastrea,None,None,Reunion,Reef slope,"Sere et al., 2015",0
Montipora,4.1,0,Reunion,Reef slope,"Sere et al., 2015",0
Pavona,1,0,Reunion,Reef slope,"Sere et al., 2015",3.708333333
Platygyra,2.5,0.7,Reunion,Reef slope,"Sere et al., 2015",204.4
Pocillopora,29.8,1.1,Reunion,Reef slope,"Sere et al., 2015",148.6521739
Porites,16,18.9,Reunion,Reef slope,"Sere et al., 2015",340.1538462
Acropora,20.4,9.6,Reunion,Reef flat,"Sere et al., 2015",58.68181818
Astreopora,0.9,0,Reunion,Reef flat,"Sere et al., 2015",Unknown
Favia,1.1,0,Reunion,Reef flat,"Sere et al., 2015",Unknown
Fungia,None,None,Reunion,Reef flat,"Sere et al., 2015",41.85714286
Galaxea,None,None,Reunion,Reef flat,"Sere et al., 2015",58.5
Goniopora,1.8,10.6,Reunion,Reef flat,"Sere et al., 2015",5.666666667
Hydnophora,1.2,2.3,Reunion,Reef flat,"Sere et al., 2015",425.5714286
Montastrea,0.9,2.1,Reunion,Reef flat,"Sere et al., 2015",0
Montipora,1.3,0,Reunion,Reef flat,"Sere et al., 2015",0
Pavona,4.9,0,Reunion,Reef flat,"Sere et al., 2015",3.708333333
Platygyra,6.7,0,Reunion,Reef flat,"Sere et al., 2015",204.4
Pocillopora,8.1,1.1,Reunion,Reef flat,"Sere et al., 2015",148.6521739
Porites,35.6,18.1,Reunion,Reef flat,"Sere et al., 2015",340.1538462
Acropora,23.8,4.1,South Africa,Shallow inshore region,"Sere et al., 2015",58.68181818
Astreopora,2.3,5.8,South Africa,Shallow inshore region,"Sere et al., 2015",Unknown
Favia,4.4,0,South Africa,Shallow inshore region,"Sere et al., 2015",Unknown
Fungia,None,Unknown,South Africa,Shallow inshore region,"Sere et al., 2015",41.85714286
Galaxea,12.7,0,South Africa,Shallow inshore region,"Sere et al., 2015",58.5
Goniopora,0.1,0,South Africa,Shallow inshore region,"Sere et al., 2015",5.666666667
Hydnophora,1.8,11.9,South Africa,Shallow inshore region,"Sere et al., 2015",425.5714286
Montastrea,0,Unknown,South Africa,Shallow inshore region,"Sere et al., 2015",0
Montipora,11.2,0.5,South Africa,Shallow inshore region,"Sere et al., 2015",0
Pavona,0.1,0,South Africa,Shallow inshore region,"Sere et al., 2015",3.708333333
Platygyra,5.7,2,South Africa,Shallow inshore region,"Sere et al., 2015",204.4
Pocillopora,18,16.4,South Africa,Shallow inshore region,"Sere et al., 2015",148.6521739
Porites,4.4,22.4,South Africa,Shallow inshore region,"Sere et al., 2015",340.1538462
Acropora,23,2.7,South Africa,Deeper Offshore Region,"Sere et al., 2015",58.68181818
Astreopora,3,10.9,South Africa,Deeper Offshore Region,"Sere et al., 2015",Unknown
Favia,4.2,0,South Africa,Deeper Offshore Region,"Sere et al., 2015",Unknown
Fungia,2.7,0,South Africa,Deeper Offshore Region,"Sere et al., 2015",41.85714286
Galaxea,11.8,0,South Africa,Deeper Offshore Region,"Sere et al., 2015",58.5
Goniopora,1.6,0,South Africa,Deeper Offshore Region,"Sere et al., 2015",5.666666667
Hydnophora,2,13.4,South Africa,Deeper Offshore Region,"Sere et al., 2015",425.5714286
Montastrea,0,0,South Africa,Deeper Offshore Region,"Sere et al., 2015",0
Montipora,14.6,2.6,South Africa,Deeper Offshore Region,"Sere et al., 2015",0
Pavona,0,0,South Africa,Deeper Offshore Region,"Sere et al., 2015",3.708333333
Platygyra,4.1,0.2,South Africa,Deeper Offshore Region,"Sere et al., 2015",204.4
Pocillopora,8.9,8.2,South Africa,Deeper Offshore Region,"Sere et al., 2015",148.6521739
Porites,4,12,South Africa,Deeper Offshore Region,"Sere et al., 2015",340.1538462
Acropora,41.4,1.6,Mayotte,Fringing Reef,"Sere et al., 2015",58.68181818
Astreopora,3,10.9,Mayotte,Fringing Reef,"Sere et al., 2015",Unknown
Favia,5.5,1.3,Mayotte,Fringing Reef,"Sere et al., 2015",Unknown
Fungia,6.2,0.9,Mayotte,Fringing Reef,"Sere et al., 2015",41.85714286
Galaxea,6.2,0.1,Mayotte,Fringing Reef,"Sere et al., 2015",58.5
Goniopora,0.1,0,Mayotte,Fringing Reef,"Sere et al., 2015",5.666666667
Hydnophora,0.7,0,Mayotte,Fringing Reef,"Sere et al., 2015",425.5714286
Montastrea,0.1,0,Mayotte,Fringing Reef,"Sere et al., 2015",0
Montipora,1.2,0.8,Mayotte,Fringing Reef,"Sere et al., 2015",0
Pavona,0.8,0,Mayotte,Fringing Reef,"Sere et al., 2015",3.708333333
Platygyra,1.7,0,Mayotte,Fringing Reef,"Sere et al., 2015",204.4
Pocillopora,0.2,0,Mayotte,Fringing Reef,"Sere et al., 2015",148.6521739
Porites,11.1,8.4,Mayotte,Fringing Reef,"Sere et al., 2015",340.1538462
Acropora,56.3,1.9,Mayotte,Barrier Reef,"Sere et al., 2015",58.68181818
Astreopora,0.5,10.8,Mayotte,Barrier Reef,"Sere et al., 2015",Unknown
Favia,3.4,0,Mayotte,Barrier Reef,"Sere et al., 2015",Unknown
Fungia,6,1.5,Mayotte,Barrier Reef,"Sere et al., 2015",41.85714286
Galaxea,4.6,2,Mayotte,Barrier Reef,"Sere et al., 2015",58.5
Goniopora,0.2,0,Mayotte,Barrier Reef,"Sere et al., 2015",5.666666667
Hydnophora,0.2,0,Mayotte,Barrier Reef,"Sere et al., 2015",425.5714286
Montastrea,0.2,0,Mayotte,Barrier Reef,"Sere et al., 2015",0
Montipora,0.7,1,Mayotte,Barrier Reef,"Sere et al., 2015",0
Pavona,0.9,0,Mayotte,Barrier Reef,"Sere et al., 2015",3.708333333
Platygyra,0.3,0,Mayotte,Barrier Reef,"Sere et al., 2015",204.4
Pocillopora,0.8,0,Mayotte,Barrier Reef,"Sere et al., 2015",148.6521739
Porites,4.9,9.5,Mayotte,Barrier Reef,"Sere et al., 2015",340.1538462
