genus,genus,n,total_disease_percent,total_diseased_count,healthy_count,Alpheus burrow,Cyanobacteria,Ulcerative white spots disease,Predation - unknown,Pigmentation response,Drupella,Bleaching,Patchy bleaching,Crown of thorns seastar,Algal overgrowth,Paling,Coralliophila,Algal infestation,Sediment on coral,Vermited worm infestation,Unknown,Discoloration,Fish bites,Terpios overgrowth,Black band disease,Urchin infestation,Sub-acute tissue loss,White syndrome,total_diseased_percent
0,Acanthastrea,62,0.0,0,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0.0
1,Acropora,97,0.0,0,86,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0.0
2,Astreopora,386,0.0,0,367,0,0,0,0,0,0,1,0,2,2,3,0,0,0,0,9,2,0,0,0,0,0,0,0.0
3,Coscinaraea,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,Cycloseris,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,Cyphastrea,281,0.0,0,264,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,8,1,0,0,0,0,0,0,0.0
6,Diploastrea,9,0.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,Echinophyllia,4,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8,Echinopora,2,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,Favia,1098,0.0,0,1019,0,0,0,0,1,0,0,0,7,7,3,0,0,0,0,61,0,0,0,0,0,0,0,0.0
10,Favites,174,0.0,0,162,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0.0
11,Fungia,7,0.0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,Galaxea,402,0.0,0,361,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,28,0,0,0,0,0,0,0,0.0
13,Goniastrea,288,0.0,0,257,0,0,0,0,0,0,0,0,6,1,5,0,0,0,0,19,0,0,0,0,0,0,0,0.0
14,Goniopora,235,0.0,0,224,0,0,0,0,0,0,0,2,2,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0.0
15,Heliopora,87,0.0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0.0
16,Hydnophora,22,0.0,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,Leptastrea,2241,0.0,0,2067,0,0,0,0,0,0,0,2,20,6,3,0,0,2,0,141,0,0,0,0,0,0,0,0.0
18,Leptoria,154,0.0,0,150,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0
19,Merulina,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,Millepora,9,0.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,Montastraea,166,0.0,0,162,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0.0
22,Montastrea,6,0.0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,Montipora,472,0.0,0,381,0,0,0,0,0,0,3,1,16,2,9,0,0,1,0,58,0,0,0,0,1,0,0,0.0
24,Mussid,4,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,No,66,0.0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,Oulophyllia,13,0.0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,Parascolymia,2,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,Pavona,366,0.0,0,340,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0.0
29,Platygyra,175,0.0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0.0
30,Plesiastrea,2,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
31,Pocillopora,331,0.14285714285714285,1,298,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,29,0,0,0,0,0,0,1,0.0033444816053511705
32,Porites,14346,0.07547578012379365,78,12946,1,1,1,12,27,6,7,11,56,20,36,40,15,19,2,1053,4,6,6,3,0,32,42,0.005988943488943489
33,Psammocora,399,0.0,0,384,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,13,0,0,0,0,0,0,0,0.0
34,Scapophyllia,2,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,Stylocoeniella,277,0.0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0.0
36,Stylophora,30,0.0,0,27,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0
